2-Map_P1_ContactForce.txt_2.0
Rate=50	Number =200	Date:11/25/21	Point Time:15:01:33	System Time:15:01:33	
Mode=0
IntervalGraph=100
7439542	5.83606	135	26	0	0	0	
IntervalNonGraph=1000
7439992	6.03406	132	26	0	0	0	
Index	Time	Timestamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
1	-7465	7430042	5.277	-238	24	0	0	0	
2	-7415	7430092	6.19312	-227	18	0	0	0	
3	-7365	7430142	5.49677	-238	27	0	0	0	
4	-7315	7430192	5.47485	-225	24	0	0	0	
5	-7265	7430242	6.49533	-226	26	0	0	0	
6	-7215	7430292	5.80289	-230	29	0	0	0	
7	-7165	7430342	5.53836	-226	25	0	0	0	
8	-7115	7430392	6.9625	-228	19	0	0	0	
9	-7065	7430442	5.24752	-234	29	0	0	0	
10	-7015	7430492	6.7076	-227	19	0	0	0	
11	-6965	7430542	5.94093	-240	24	0	0	0	
12	-6915	7430592	4.96559	0	0	0	0	0	
13	-6865	7430642	6.92879	-231	22	0	0	0	
14	-6815	7430692	7.1761	-225	17	0	0	0	
15	-6765	7430742	6.75846	-228	20	0	0	0	
16	-6715	7430792	5.75592	-222	27	0	0	0	
17	-6665	7430842	6.56827	-232	20	0	0	0	
18	-6615	7430892	5.26299	-231	33	0	0	0	
19	-6565	7430942	7.02014	-239	17	0	0	0	
20	-6515	7430992	5.95989	-226	21	0	0	0	
21	-6465	7431042	6.76316	-230	21	0	0	0	
22	-6415	7431092	6.38005	-230	22	0	0	0	
23	-6365	7431142	6.00016	-231	24	0	0	0	
24	-6315	7431192	6.38646	-227	26	0	0	0	
25	-6265	7431242	6.42266	-226	19	0	0	0	
26	-6215	7431292	5.89976	-226	24	0	0	0	
27	-6165	7431342	5.70617	-223	27	0	0	0	
28	-6115	7431392	6.12056	-227	22	0	0	0	
29	-6065	7431442	5.9514	-228	26	0	0	0	
30	-6015	7431492	4.67266	0	0	0	0	0	
31	-5965	7431542	4.63067	0	0	0	0	0	
32	-5915	7431592	7.44387	-231	15	0	0	0	
33	-5865	7431642	4.15532	0	0	0	0	0	
34	-5815	7431692	5.80551	-234	28	0	0	0	
35	-5765	7431742	4.77625	0	0	0	0	0	
36	-5715	7431792	7.46312	-231	22	0	0	0	
37	-5665	7431842	5.77821	-217	21	0	0	0	
38	-5615	7431892	5.53865	-228	24	0	0	0	
39	-5565	7431942	5.54858	-234	31	0	0	0	
40	-5515	7431992	5.48586	-231	27	0	0	0	
41	-5465	7432042	6.62193	-233	23	0	0	0	
42	-5415	7432092	6.2678	-228	21	0	0	0	
43	-5365	7432142	5.61081	-226	23	0	0	0	
44	-5315	7432192	5.79278	-227	24	0	0	0	
45	-5265	7432242	4.8892	0	0	0	0	0	
46	-5215	7432292	4.20221	0	0	0	0	0	
47	-5165	7432342	5.91695	-224	25	0	0	0	
48	-5115	7432392	5.92571	-233	25	0	0	0	
49	-5065	7432442	4.33558	0	0	0	0	0	
50	-5015	7432492	4.47178	0	0	0	0	0	
51	-4965	7432542	6.51958	-229	26	0	0	0	
52	-4915	7432592	5.40079	-232	27	0	0	0	
53	-4865	7432642	5.309	-228	24	0	0	0	
54	-4815	7432692	5.26144	-241	25	0	0	0	
55	-4765	7432742	5.09917	-228	29	0	0	0	
56	-4715	7432792	5.16902	-231	29	0	0	0	
57	-4665	7432842	6.46524	-230	21	0	0	0	
58	-4615	7432892	5.68708	-223	22	0	0	0	
59	-4565	7432942	6.30793	-229	28	0	0	0	
60	-4515	7432992	7.03709	-224	18	0	0	0	
61	-4465	7433042	7.09155	-221	17	0	0	0	
62	-4415	7433092	6.4611	-229	22	0	0	0	
63	-4365	7433142	6.09668	-229	23	0	0	0	
64	-4315	7433192	7.11706	-239	19	0	0	0	
65	-4265	7433242	6.18713	-230	28	0	0	0	
66	-4215	7433292	5.58767	-235	27	0	0	0	
67	-4165	7433342	6.53814	-226	25	0	0	0	
68	-4115	7433392	6.76401	-233	21	0	0	0	
69	-4065	7433442	5.31138	-220	29	0	0	0	
70	-4015	7433492	6.2984	-247	24	0	0	0	
71	-3965	7433542	5.14861	-223	29	0	0	0	
72	-3915	7433592	5.52542	-222	26	0	0	0	
73	-3865	7433642	6.38342	-232	25	0	0	0	
74	-3815	7433692	5.91491	-225	25	0	0	0	
75	-3765	7433742	5.83249	-236	23	0	0	0	
76	-3715	7433792	7.5315	-221	22	0	0	0	
77	-3665	7433842	5.9506	-231	26	0	0	0	
78	-3615	7433892	5.37623	-230	23	0	0	0	
