Sensor_Positions_2.0
Sensor#	Time	X	Y	Z
1	4	13.5372	20.6692	12.4694	
1	21	13.54	20.6738	12.4674	
1	38	13.5364	20.6758	12.4645	
1	54	13.5419	20.6795	12.4651	
1	71	13.5382	20.6823	12.4637	
1	88	13.5418	20.6868	12.4675	
1	104	13.5415	20.6803	12.4713	
1	121	13.5397	20.6876	12.4621	
1	138	13.5344	20.6821	12.4624	
1	154	13.5429	20.6865	12.4662	
1	171	13.5415	20.6878	12.4645	
1	188	13.5386	20.6892	12.4551	
1	204	13.5433	20.6916	12.4626	
1	221	13.5449	20.6998	12.4592	
1	238	13.5431	20.6961	12.4601	
1	254	13.5471	20.7006	12.4588	
1	271	13.55	20.7019	12.4566	
1	288	13.5435	20.7055	12.4517	
1	304	13.5476	20.7043	12.4519	
1	321	13.5482	20.7092	12.4495	
1	338	13.5502	20.7152	12.4505	
1	354	13.5506	20.7178	12.4461	
1	371	13.5547	20.715	12.453	
1	388	13.5565	20.7201	12.4502	
1	404	13.5562	20.7215	12.4465	
1	421	13.5529	20.7232	12.4475	
1	438	13.5567	20.7252	12.4477	
1	454	13.555	20.7312	12.4476	
1	471	13.5577	20.7307	12.4424	
1	488	13.5596	20.7279	12.4495	
1	504	13.5586	20.7334	12.4429	
1	521	13.5611	20.7325	12.4386	
1	538	13.5614	20.7407	12.4484	
1	554	13.5621	20.7321	12.4404	
1	571	13.5591	20.7298	12.4423	
1	588	13.5607	20.7332	12.4359	
1	604	13.5637	20.7312	12.4448	
1	621	13.5626	20.7322	12.4419	
1	638	13.565	20.7349	12.4482	
1	654	13.5653	20.7359	12.4438	
1	671	13.5614	20.7278	12.4414	
1	688	13.5656	20.7279	12.4443	
1	704	13.566	20.7303	12.4531	
1	721	13.5633	20.7323	12.4496	
1	738	13.5656	20.7348	12.4495	
1	754	13.5657	20.7313	12.4532	
1	771	13.5669	20.7222	12.4582	
1	788	13.5642	20.7285	12.4611	
1	804	13.5658	20.7297	12.462	
1	821	13.5642	20.7204	12.4696	
1	838	13.5686	20.718	12.4667	
1	854	13.5658	20.7205	12.4704	
1	871	13.5667	20.72	12.4748	
1	888	13.5683	20.7185	12.4889	
1	904	13.5679	20.7167	12.4865	
1	921	13.5659	20.7119	12.4824	
1	938	13.5696	20.7153	12.4928	
1	954	13.5695	20.7104	12.5001	
1	971	13.5683	20.7115	12.4991	
1	988	13.5708	20.7165	12.5053	
1	1004	13.5655	20.7083	12.4995	
1	1021	13.5706	20.7094	12.5164	
1	1038	13.5683	20.7078	12.5182	
1	1054	13.5703	20.7073	12.5174	
1	1071	13.5692	20.6969	12.5225	
1	1088	13.5701	20.7012	12.5211	
1	1104	13.5672	20.6956	12.5239	
1	1121	13.5748	20.6997	12.5331	
1	1138	13.5702	20.698	12.5376	
1	1154	13.5719	20.7025	12.5355	
1	1171	13.5732	20.6962	12.5388	
1	1188	13.5743	20.6985	12.5462	
1	1204	13.5747	20.6937	12.5428	
1	1221	13.5729	20.6936	12.5391	
1	1238	13.5784	20.6932	12.5463	
1	1254	13.5727	20.6918	12.5452	
1	1271	13.5757	20.6863	12.5507	
1	1288	13.5771	20.6925	12.5505	
1	1304	13.5793	20.6887	12.5546	
1	1321	13.5741	20.6903	12.5463	
1	1338	13.5764	20.6855	12.5452	
1	1354	13.5757	20.6841	12.5411	
1	1371	13.577	20.6841	12.5441	
1	1388	13.5762	20.6782	12.5496	
1	1404	13.578	20.6807	12.5436	
1	1421	13.5773	20.6833	12.5454	
1	1438	13.5773	20.6785	12.5423	
1	1454	13.5798	20.6767	12.5479	
1	1471	13.5789	20.6737	12.5436	
1	1488	13.5772	20.6771	12.5341	
1	1504	13.58	20.6783	12.5417	
1	1521	13.5781	20.677	12.5372	
1	1538	13.5788	20.6751	12.5408	
1	1554	13.5754	20.6728	12.5356	
1	1571	13.579	20.672	12.5449	
1	1588	13.5788	20.6773	12.5477	
1	1604	13.5782	20.6748	12.5466	
1	1621	13.5805	20.672	12.5439	
1	1638	13.5766	20.6718	12.5426	
1	1654	13.5742	20.6721	12.5369	
1	1671	13.5762	20.6659	12.5433	
1	1688	13.5776	20.6719	12.5503	
1	1704	13.5763	20.6723	12.5394	
1	1721	13.5767	20.6711	12.5419	
1	1738	13.5756	20.6668	12.5505	
1	1754	13.5747	20.6682	12.5432	
1	1771	13.5745	20.6722	12.5441	
1	1788	13.5758	20.6748	12.551	
1	1804	13.5764	20.6679	12.5535	
1	1821	13.5739	20.6747	12.549	
1	1838	13.5713	20.6745	12.5565	
1	1854	13.5721	20.6726	12.5558	
1	1871	13.5738	20.6798	12.5583	
1	1888	13.5692	20.6744	12.5512	
1	1904	13.5684	20.6817	12.5545	
1	1921	13.5682	20.6803	12.5567	
1	1938	13.5721	20.6869	12.5584	
1	1954	13.569	20.6914	12.5565	
1	1971	13.5684	20.6869	12.5569	
1	1988	13.5688	20.6863	12.5638	
1	2004	13.5681	20.6895	12.563	
1	2021	13.5705	20.6934	12.5617	
1	2038	13.5708	20.6953	12.5583	
1	2054	13.5703	20.699	12.5611	
1	2071	13.5675	20.6958	12.558	
1	2088	13.5727	20.7058	12.5647	
1	2104	13.5689	20.7027	12.5648	
1	2121	13.5713	20.7036	12.5649	
1	2138	13.5716	20.7069	12.5581	
1	2154	13.5738	20.7035	12.5602	
1	2171	13.5739	20.7042	12.5604	
1	2188	13.5735	20.7098	12.5541	
1	2204	13.5791	20.7084	12.5606	
1	2221	13.5781	20.7203	12.5559	
1	2238	13.5793	20.7127	12.5567	
1	2254	13.5794	20.7126	12.5534	
1	2271	13.5804	20.7051	12.5586	
1	2288	13.5791	20.7137	12.5487	
1	2304	13.5855	20.7114	12.5548	
1	2321	13.5843	20.71	12.5471	
1	2338	13.5895	20.7124	12.5493	
1	2354	13.592	20.7119	12.5545	
1	2371	13.5911	20.709	12.5456	
1	2388	13.5948	20.7089	12.554	
1	2404	13.5972	20.712	12.5494	
1	2421	13.6009	20.7085	12.5482	
1	2438	13.6023	20.7099	12.5508	
1	2454	13.6018	20.7076	12.5435	
1	2471	13.6059	20.7099	12.5424	
1	2488	13.6046	20.7072	12.54	

