ECG_Export_4.0
Raw ECG to MV (gain) = 0.003000
Unipolar Mapping Channel=M1 Bipolar Mapping Channel=M1-M2 Reference Channel=I
M1(1)                         M2(2)                         M3(3)                         M4(4)                         M7(7)                         M8(8)                         M9(9)                         M10(10)                       WCT_GND(21)                   V1(22)                        V2(23)                        V3(24)                        V4(25)                        V5(26)                        V6(27)                        LA(28)                        RA(29)                        LL(30)                        M1-M2(92)                     M3-M4(94)                     I(110)                        II(111)                       III(112)                      aVL(171)                      aVR(172)                      aVF(173)                      
101                           99                            -153                          -153                          125                           -66                           47                            11                            -140                          -7                            -15                           -41                           -12                           -17                           -15                           55                            2                             -34                           1                             1                             52                            -37                           -89                           71                            -7                            -64                           
-84                           -85                           -204                          -204                          89                            -29                           6                             52                            -140                          68                            2                             -8                            8                             3                             9                             74                            11                            -15                           0                             0                             62                            -28                           -89                           76                            -17                           -59                           
-189                          -189                          -29                           -30                           83                            -23                           1                             50                            -141                          124                           15                            14                            24                            18                            27                            69                            12                            -7                            -1                            0                             56                            -20                           -77                           67                            -18                           -49                           
-132                          -130                          284                           283                           111                           -57                           17                            35                            -140                          129                           12                            8                             23                            15                            24                            34                            3                             -12                           -3                            0                             31                            -16                           -47                           39                            -7                            -31                           
128                           131                           300                           299                           80                            -29                           -3                            58                            -141                          97                            2                             -14                           12                            1                             9                             -7                            -6                            -16                           0                             1                             -1                            -10                           -9                            4                             5                             -9                            
332                           333                           20                            19                            47                            3                             -9                            55                            -141                          72                            -1                            -26                           7                             -4                            1                             -25                           -5                            -5                            4                             -1                            -20                           0                             20                            -20                           9                             10                            
177                           176                           -181                          -181                          79                            -31                           2                             40                            -141                          70                            4                             -17                           13                            0                             4                             -22                           2                             15                            0                             0                             -24                           14                            38                            -31                           4                             26                            
-95                           -97                           -239                          -239                          81                            -35                           -26                           76                            -140                          77                            16                            2                             24                            11                            14                            -13                           10                            38                            2                             0                             -23                           28                            51                            -37                           -2                            40                            
-223                          -224                          -188                          -187                          81                            -31                           -25                           73                            -141                          71                            24                            17                            30                            18                            20                            -15                           13                            52                            0                             0                             -28                           40                            68                            -48                           -5                            54                            
-226                          -226                          -25                           -25                           124                           -75                           16                            25                            -141                          30                            20                            11                            23                            14                            13                            -35                           6                             52                            -1                            0                             -41                           46                            87                            -65                           -2                            66                            
