Eleclectrode_Positions_2.0
Electrode#	Time	X	Y	Z
1	-7	13.5758	20.1156	12.6146	
1	10	13.5796	20.1042	12.6159	
1	26	13.5768	20.1059	12.6193	
1	43	13.5787	20.1104	12.612	
1	60	13.5785	20.105	12.6189	
1	76	13.5813	20.1112	12.6238	
1	93	13.5811	20.1113	12.6214	
1	110	13.5833	20.1078	12.6216	
1	126	13.5811	20.1126	12.6284	
1	143	13.5831	20.1162	12.625	
1	160	13.5805	20.1136	12.6243	
1	176	13.5823	20.1211	12.6261	
1	193	13.5803	20.1134	12.6339	
1	210	13.5814	20.1116	12.6293	
1	226	13.5798	20.1174	12.6393	
1	243	13.5792	20.1169	12.6335	
1	260	13.5786	20.1175	12.6378	
1	276	13.5754	20.12	12.6346	
1	293	13.5738	20.1242	12.6395	
1	310	13.5716	20.1195	12.6403	
1	326	13.5696	20.1241	12.6423	
1	343	13.5694	20.1233	12.6442	
1	360	13.5631	20.125	12.6461	
1	376	13.5644	20.1238	12.6471	
1	393	13.5623	20.1244	12.6565	
1	410	13.5574	20.1263	12.6563	
1	426	13.5561	20.1296	12.6525	
1	443	13.5515	20.1333	12.6536	
1	460	13.5476	20.13	12.6579	
1	476	13.5477	20.1356	12.6601	
1	493	13.5451	20.1298	12.6621	
1	510	13.5426	20.1304	12.6615	
1	526	13.5386	20.1345	12.6601	
1	543	13.5369	20.1289	12.663	
1	560	13.5345	20.1293	12.6656	
1	576	13.5291	20.1331	12.6611	
1	593	13.528	20.1265	12.669	
1	610	13.5278	20.1375	12.6676	
1	626	13.522	20.1298	12.6727	
1	643	13.5213	20.1311	12.6663	
1	660	13.5197	20.1248	12.6711	
1	676	13.5152	20.1271	12.6631	
1	693	13.5181	20.129	12.6752	
1	710	13.5132	20.1259	12.6678	
1	726	13.5128	20.1219	12.6655	
1	743	13.5128	20.1298	12.6755	
1	760	13.5097	20.1287	12.6716	
1	776	13.5081	20.1186	12.6774	
1	793	13.5061	20.1226	12.6711	
1	810	13.5085	20.1197	12.6713	
1	826	13.51	20.1245	12.6776	
1	843	13.5078	20.1172	12.6782	
1	860	13.5082	20.1185	12.6766	
1	876	13.5075	20.114	12.6771	
1	893	13.5098	20.114	12.6792	
1	910	13.5112	20.1146	12.6818	
1	926	13.5096	20.1167	12.6786	
1	943	13.5129	20.1113	12.6805	
1	960	13.5139	20.1179	12.6729	
1	976	13.5154	20.1113	12.6782	
1	993	13.516	20.1153	12.6817	
