TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
  4386192	  1.160704	         0	           0	            0	                 0	          0	
  4386242	  1.159379	         0	           0	            0	                 0	          0	
  4386292	  1.506605	         0	           0	            0	                 0	          0	
  4386342	  1.290674	         0	           0	            0	                 0	          0	
  4386392	   1.14072	         0	           0	            0	                 0	          0	
  4386442	 0.6644658	         0	           0	            0	                 0	          0	
  4386492	 0.5210478	         0	           0	            0	                 0	          0	
  4386542	 0.9461782	         0	           0	            0	                 0	          0	
  4386592	  1.066825	         0	           0	            0	                 0	          0	
  4386642	   1.01334	         0	           0	            0	                 0	          0	
  4386692	 0.8040064	         0	           0	            0	                 0	          0	
  4386742	 0.5944803	         0	           0	            0	                 0	          0	
  4386792	 0.8242468	         0	           0	            0	                 0	          0	
  4386842	 0.8859648	         0	           0	            0	                 0	          0	
  4386892	 0.7172869	         0	           0	            0	                 0	          0	
  4386942	 0.6943117	         0	           0	            0	                 0	          0	
  4386992	 0.9947738	         0	           0	            0	                 0	          0	
  4387042	  1.111705	         0	           0	            0	                 0	          0	
  4387092	  1.013137	         0	           0	            0	                 0	          0	
  4387142	 0.9644425	         0	           0	            0	                 0	          0	
  4387192	 0.8847834	         0	           0	            0	                 0	          0	
  4387242	  1.189974	         0	           0	            0	                 0	          0	
  4387292	  1.070594	         0	           0	            0	                 0	          0	
  4387342	  1.468794	         0	           0	            0	                 0	          0	
  4387392	  1.018403	         0	           0	            0	                 0	          0	
  4387442	 0.9764118	         0	           0	            0	                 0	          0	
  4387492	  0.952561	         0	           0	            0	                 0	          0	
  4387542	  1.464251	         0	           0	            0	                 0	          0	
  4387592	  1.107537	         0	           0	            0	                 0	          0	
  4387642	 0.4760292	         0	           0	            0	                 0	          0	
  4387692	 0.4571235	         0	           0	            0	                 0	          0	
  4387742	    1.4367	         0	           0	            0	                 0	          0	
  4387792	  1.561065	         0	           0	            0	                 0	          0	
  4387842	 0.9931332	         0	           0	            0	                 0	          0	
  4387892	 0.8087768	         0	           0	            0	                 0	          0	
  4387942	  1.019966	         0	           0	            0	                 0	          0	
  4387992	  1.380764	         0	           0	            0	                 0	          0	
  4388042	  1.481691	         0	           0	            0	                 0	          0	
  4388092	 0.8442882	         0	           0	            0	                 0	          0	
  4388142	  1.106823	         0	           0	            0	                 0	          0	
  4388192	  0.970311	         0	           0	            0	                 0	          0	
  4388242	 0.6583945	         0	           0	            0	                 0	          0	
  4388292	  1.342527	         0	           0	            0	                 0	          0	
  4388342	 0.8820122	         0	           0	            0	                 0	          0	
  4388392	 0.6818638	         0	           0	            0	                 0	          0	
  4388442	  1.005173	         0	           0	            0	                 0	          0	
  4388492	  1.635519	         0	           0	            0	                 0	          0	
  4388542	  1.612489	         0	           0	            0	                 0	          0	
  4388592	  1.931183	         0	           0	            0	                 0	          0	
  4388642	  1.191818	         0	           0	            0	                 0	          0	
  4388692	 0.6014165	         0	           0	            0	                 0	          0	
  4388742	 0.3293066	         0	           0	            0	                 0	          0	
  4388792	 0.3638151	         0	           0	            0	                 0	          0	
  4388842	   1.12083	         0	           0	            0	                 0	          0	
  4388892	  1.946242	         0	           0	            0	                 0	          0	
  4388942	  1.307657	         0	           0	            0	                 0	          0	
  4388992	  1.065867	         0	           0	            0	                 0	          0	
  4389042	  1.254783	         0	           0	            0	                 0	          0	
  4389092	  1.361855	         0	           0	            0	                 0	          0	
  4389142	 0.9489092	         0	           0	            0	                 0	          0	
  4389192	   1.23462	         0	           0	            0	                 0	          0	
  4389242	  1.898536	         0	           0	            0	                 0	          0	
  4389292	  1.719866	         0	           0	            0	                 0	          0	
  4389342	 0.8565066	         0	           0	            0	                 0	          0	
  4389392	 0.6901824	         0	           0	            0	                 0	          0	
  4389442	 0.7452674	         0	           0	            0	                 0	          0	
  4389492	   1.25512	         0	           0	            0	                 0	          0	
  4389542	  1.610094	         0	           0	            0	                 0	          0	
