TimeStamp	ForceValue	AxialAngle	LateralAngle	MetalSeverity	InAccurateSeverity	NeedZeroing	
  9631442	  27.91393	       -57	          67	            0	                 0	          0	
  9631492	  27.72941	       -57	          68	            0	                 0	          0	
  9631542	  27.24013	       -57	          70	            0	                 0	          0	
  9631592	  27.57642	       -57	          69	            0	                 0	          0	
  9631642	  27.80908	       -56	          67	            0	                 0	          0	
  9631692	  27.64749	       -56	          68	            0	                 0	          0	
  9631742	  27.61191	       -58	          69	            0	                 0	          0	
  9631792	  27.02403	       -57	          70	            0	                 0	          0	
  9631842	  26.88118	       -57	          71	            0	                 0	          0	
  9631892	  26.89701	       -57	          72	            0	                 0	          0	
  9631942	  26.98436	       -57	          71	            0	                 0	          0	
  9631992	   27.0294	       -57	          71	            0	                 0	          0	
  9632042	  26.91404	       -57	          70	            0	                 0	          0	
  9632092	  26.67074	       -57	          72	            0	                 0	          0	
  9632142	  26.76989	       -57	          72	            0	                 0	          0	
  9632192	  27.13174	       -57	          71	            0	                 0	          0	
  9632242	  27.18503	       -57	          72	            0	                 0	          0	
  9632292	   26.7334	       -56	          73	            0	                 0	          0	
  9632342	  26.48853	       -57	          74	            0	                 0	          0	
  9632392	  26.95438	       -57	          73	            0	                 0	          0	
  9632442	  26.88593	       -56	          72	            0	                 0	          0	
  9632492	  26.77537	       -58	          71	            0	                 0	          0	
  9632542	  27.02966	       -58	          72	            0	                 0	          0	
  9632592	  27.13872	       -58	          72	            0	                 0	          0	
  9632642	  26.64004	       -58	          72	            0	                 0	          0	
  9632692	   26.3209	       -58	          73	            0	                 0	          0	
  9632742	  26.61146	       -57	          74	            0	                 0	          0	
  9632792	  26.60132	       -57	          73	            0	                 0	          0	
  9632842	  26.41044	       -58	          72	            0	                 0	          0	
  9632892	  26.29605	       -57	          73	            0	                 0	          0	
  9632942	  26.38762	       -56	          72	            0	                 0	          0	
  9632992	  26.51526	       -57	          73	            0	                 0	          0	
  9633042	  26.33656	       -57	          75	            0	                 0	          0	
  9633092	   26.5346	       -57	          73	            0	                 0	          0	
  9633142	  26.78465	       -58	          73	            0	                 0	          0	
  9633192	    26.161	       -57	          75	            0	                 0	          0	
  9633242	  25.83252	       -57	          75	            0	                 0	          0	
  9633292	  26.08233	       -57	          75	            0	                 0	          0	
  9633342	  26.29735	       -57	          74	            0	                 0	          0	
  9633392	  26.29209	       -57	          73	            0	                 0	          0	
  9633442	  26.20771	       -58	          73	            0	                 0	          0	
  9633492	  25.99453	       -58	          75	            0	                 0	          0	
  9633542	  25.65956	       -57	          75	            0	                 0	          0	
  9633592	  25.81871	       -57	          73	            0	                 0	          0	
  9633642	  26.23297	       -58	          72	            0	                 0	          0	
  9633692	  26.44434	       -58	          72	            0	                 0	          0	
  9633742	  26.20581	       -57	          74	            0	                 0	          0	
  9633792	  25.91021	       -57	          75	            0	                 0	          0	
  9633842	  25.98818	       -57	          75	            0	                 0	          0	
  9633892	  26.04597	       -57	          74	            0	                 0	          0	
  9633942	  25.73763	       -57	          75	            0	                 0	          0	
  9633992	   25.8159	       -57	          75	            0	                 0	          0	
  9634042	  26.02179	       -57	          74	            0	                 0	          0	
  9634092	  25.85044	       -58	          75	            0	                 0	          0	
  9634142	  25.84218	       -57	          76	            0	                 0	          0	
  9634192	   26.1672	       -57	          74	            0	                 0	          0	
  9634242	  26.44673	       -58	          73	            0	                 0	          0	
  9634292	  25.97755	       -57	          75	            0	                 0	          0	
  9634342	  25.69304	       -58	          76	            0	                 0	          0	
  9634392	  25.90015	       -58	          75	            0	                 0	          0	
  9634442	  26.02783	       -58	          76	            0	                 0	          0	
  9634492	  26.23003	       -57	          74	            0	                 0	          0	
  9634542	   26.0491	       -57	          75	            0	                 0	          0	
  9634592	  25.91194	       -58	          76	            0	                 0	          0	
  9634642	  26.09866	       -57	          76	            0	                 0	          0	
  9634692	  26.00143	       -57	          79	            0	                 0	          0	
  9634742	  25.69969	       -57	          78	            0	                 0	          0	
  9634792	  25.39721	       -57	          77	            0	                 0	          0	
  9634842	  25.63955	       -57	          76	            0	                 0	          0	
  9634892	  25.76816	       -58	          75	            0	                 0	          0	
  9634942	  25.57586	       -58	          76	            0	                 0	          0	
  9634992	   25.8676	       -58	          75	            0	                 0	          0	
  9635042	  25.46696	       -58	          75	            0	                 0	          0	
  9635092	  25.24068	       -57	          76	            0	                 0	          0	
  9635142	  25.58621	       -57	          77	            0	                 0	          0	
  9635192	  25.62878	       -58	          77	            0	                 0	          0	
  9635242	  25.72318	       -57	          76	            0	                 0	          0	
  9635292	  25.74623	       -57	          77	            0	                 0	          0	
  9635342	  25.91986	       -58	          77	            0	                 0	          0	
  9635392	  25.60478	       -58	          76	            0	                 0	          0	
  9635442	  25.27848	       -58	          78	            0	                 0	          0	
  9635492	  25.33259	       -58	          80	            0	                 0	          0	
  9635542	  25.08675	       -58	          79	            0	                 0	          0	
  9635592	   25.4659	       -58	          76	            0	                 0	          0	
  9635642	  25.95058	       -58	          75	            0	                 0	          0	
  9635692	  25.61091	       -58	          75	            0	                 0	          0	
  9635742	  25.52931	       -58	          76	            0	                 0	          0	
  9635792	    25.609	       -58	          78	            0	                 0	          0	
  9635842	  25.54101	       -59	          78	            0	                 0	          0	
  9635892	  25.43345	       -58	          77	            0	                 0	          0	
  9635942	  25.22353	       -57	          78	            0	                 0	          0	
  9635992	  25.55236	       -58	          77	            0	                 0	          0	
  9636042	  25.72406	       -58	          75	            0	                 0	          0	
  9636092	  25.59543	       -58	          77	            0	                 0	          0	
  9636142	   25.3101	       -58	          80	            0	                 0	          0	
  9636192	  24.67257	       -58	          82	            0	                 0	          0	
  9636242	  24.87347	       -58	          79	            0	                 0	          0	
  9636292	  25.24779	       -58	          77	            0	                 0	          0	
  9636342	   24.8967	       -58	          76	            0	                 0	          0	
  9636392	  24.84929	       -58	          78	            0	                 0	          0	
  9636442	  25.02182	       -58	          80	            0	                 0	          0	
  9636492	  24.94639	       -58	          79	            0	                 0	          0	
  9636542	  25.02746	       -58	          77	            0	                 0	          0	
  9636592	  24.92204	       -58	          78	            0	                 0	          0	
  9636642	  25.04024	       -58	          80	            0	                 0	          0	
  9636692	  25.32711	       -58	          79	            0	                 0	          0	
  9636742	  25.16227	       -58	          77	            0	                 0	          0	
  9636792	  25.15056	       -58	          77	            0	                 0	          0	
  9636842	  24.77867	       -58	          79	            0	                 0	          0	
  9636892	  24.91622	       -58	          79	            0	                 0	          0	
  9636942	  25.11349	       -59	          79	            0	                 0	          0	
  9636992	  25.07396	       -59	          78	            0	                 0	          0	
  9637042	  25.31109	       -58	          77	            0	                 0	          0	
  9637092	  25.00873	       -58	          79	            0	                 0	          0	
  9637142	  25.01986	       -59	          81	            0	                 0	          0	
  9637192	  25.07958	       -58	          81	            0	                 0	          0	
  9637242	  24.78207	       -58	          79	            0	                 0	          0	
  9637292	  24.94361	       -58	          78	            0	                 0	          0	
  9637342	   25.2843	       -58	          79	            0	                 0	          0	
  9637392	  24.69452	       -58	          82	            0	                 0	          0	
  9637442	  24.55381	       -58	          80	            0	                 0	          0	
  9637492	  25.16844	       -58	          77	            0	                 0	          0	
