PiuTimeStamp	Irrigation	Power Mode	AblTime1	Power1	Impedance1	DistalTemperature1	ProximalTemperature1	
      4630014	         -1	          0	    3000	     9	       100	                45	                   0	
      4630114	         -1	          0	    3100	     9	       100	                45	                   0	
      4630214	         -1	          0	    3200	     9	       100	                45	                   0	
      4630314	         -1	          0	    3300	     9	       100	                45	                   0	
      4630414	         -1	          0	    3400	     9	       100	                45	                   0	
      4630514	         -1	          0	    3500	     9	       100	                46	                   0	
      4630614	         -1	          0	    3600	    10	       100	                46	                   0	
      4630714	         -1	          0	    3700	    10	       100	                46	                   0	
      4630814	         -1	          0	    3800	    10	       100	                46	                   0	
      4630914	         -1	          0	    3900	    10	       100	                46	                   0	
      4631014	         -1	          0	    4000	    10	       100	                47	                   0	
      4631114	         -1	          0	    4100	    10	       100	                47	                   0	
      4631214	         -1	          0	    4200	    10	       100	                47	                   0	
      4631314	         -1	          0	    4300	    10	       100	                47	                   0	
      4631414	         -1	          0	    4400	    10	       100	                47	                   0	
      4631514	         -1	          0	    4500	    10	       100	                48	                   0	
      4631614	         -1	          0	    4600	    11	       100	                48	                   0	
      4631714	         -1	          0	    4700	    11	       100	                48	                   0	
      4631814	         -1	          0	    4800	    11	       100	                48	                   0	
      4631914	         -1	          0	    4900	    11	       100	                48	                   0	
      4632013	         -1	          0	    5000	    11	       100	                48	                   0	
      4632113	         -1	          0	    5100	    11	       100	                48	                   0	
      4632213	         -1	          0	    5200	    11	       100	                49	                   0	
      4632313	         -1	          0	    5300	    11	       100	                49	                   0	
      4632413	         -1	          0	    5400	    11	       100	                49	                   0	
      4632513	         -1	          0	    5500	    11	       100	                49	                   0	
      4632613	         -1	          0	    5600	    11	       100	                49	                   0	
      4632713	         -1	          0	    5700	    11	       100	                49	                   0	
      4632813	         -1	          0	    5800	    12	       100	                49	                   0	
      4632913	         -1	          0	    5900	    11	       100	                49	                   0	
      4633013	         -1	          0	    6000	    11	        99	                50	                   0	
      4633113	         -1	          0	    6100	    11	       100	                50	                   0	
      4633213	         -1	          0	    6200	    12	       100	                50	                   0	
      4633313	         -1	          0	    6300	    12	       100	                50	                   0	
      4633413	         -1	          0	    6400	    12	        99	                50	                   0	
      4633513	         -1	          0	    6500	    12	       100	                50	                   0	
      4633613	         -1	          0	    6600	    12	        99	                50	                   0	
      4633713	         -1	          0	    6700	    12	        99	                50	                   0	
      4633813	         -1	          0	    6800	    12	        99	                50	                   0	
      4633912	         -1	          0	    6900	    12	        99	                50	                   0	
      4634012	         -1	          0	    7000	    12	       100	                51	                   0	
      4634112	         -1	          0	    7100	    12	        99	                51	                   0	
      4634212	         -1	          0	    7200	    12	       100	                51	                   0	
      4634312	         -1	          0	    7300	    12	        99	                51	                   0	
