PiuTimeStamp	Irrigation	Power Mode	AblTime1	Power1	Impedance1	DistalTemperature1	ProximalTemperature1	
     10060966	         -1	          0	    3500	     9	       100	                45	                   0	
     10061066	         -1	          0	    3600	     9	       100	                45	                   0	
     10061166	         -1	          0	    3700	     9	       100	                45	                   0	
     10061266	         -1	          0	    3800	     9	       100	                46	                   0	
     10061366	         -1	          0	    3900	     9	        99	                46	                   0	
     10061466	         -1	          0	    4000	     9	       100	                46	                   0	
     10061566	         -1	          0	    4100	    10	       100	                46	                   0	
     10061666	         -1	          0	    4200	    10	       100	                46	                   0	
     10061766	         -1	          0	    4300	    10	        99	                46	                   0	
     10061866	         -1	          0	    4400	    10	       100	                46	                   0	
     10061966	         -1	          0	    4500	    10	       100	                46	                   0	
     10062066	         -1	          0	    4600	    10	        99	                47	                   0	
     10062165	         -1	          0	    4700	    10	        99	                47	                   0	
     10062265	         -1	          0	    4800	    10	       100	                47	                   0	
     10062365	         -1	          0	    4900	    11	       100	                47	                   0	
     10062466	         -1	          0	    5000	    10	        99	                47	                   0	
     10062565	         -1	          0	    5100	    11	       100	                47	                   0	
     10062665	         -1	          0	    5200	    11	        99	                47	                   0	
     10062765	         -1	          0	    5300	    11	       100	                47	                   0	
     10062865	         -1	          0	    5400	    11	        99	                48	                   0	
     10062965	         -1	          0	    5500	    11	        99	                48	                   0	
     10063065	         -1	          0	    5600	    11	        99	                48	                   0	
     10063165	         -1	          0	    5700	    11	       100	                48	                   0	
     10063265	         -1	          0	    5800	    12	        99	                48	                   0	
     10063365	         -1	          0	    5900	    12	        99	                48	                   0	
     10063465	         -1	          0	    6000	    12	        99	                48	                   0	
     10063565	         -1	          0	    6100	    12	       100	                48	                   0	
     10063665	         -1	          0	    6200	    12	       100	                48	                   0	
     10063765	         -1	          0	    6300	    12	        99	                49	                   0	
     10063865	         -1	          0	    6400	    13	        99	                49	                   0	
     10063965	         -1	          0	    6500	    13	       100	                49	                   0	
     10064065	         -1	          0	    6600	    13	        99	                49	                   0	
     10064165	         -1	          0	    6700	    13	       100	                49	                   0	
     10064265	         -1	          0	    6800	    13	        99	                49	                   0	
     10064365	         -1	          0	    6900	    13	       100	                49	                   0	
     10064465	         -1	          0	    7000	    13	        99	                49	                   0	
     10064565	         -1	          0	    7100	    13	       100	                49	                   0	
     10064665	         -1	          0	    7200	    14	       100	                49	                   0	
     10064765	         -1	          0	    7300	    13	        99	                49	                   0	
     10064865	         -1	          0	    7400	    14	        99	                50	                   0	
     10064965	         -1	          0	    7500	    14	        99	                50	                   0	
     10065065	         -1	          0	    7600	    14	        99	                50	                   0	
     10065165	         -1	          0	    7700	    14	        99	                50	                   0	
     10065265	         -1	          0	    7800	    14	        99	                50	                   0	
     10065365	         -1	          0	    7900	    14	       100	                50	                   0	
     10065465	         -1	          0	    8000	    14	        99	                50	                   0	
     10065565	         -1	          0	    8100	    14	        99	                50	                   0	
     10065665	         -1	          0	    8200	    14	       100	                50	                   0	
     10065765	         -1	          0	    8300	    14	        99	                50	                   0	
     10065865	         -1	          0	    8400	    15	        99	                50	                   0	
     10065965	         -1	          0	    8500	    14	        99	                50	                   0	
     10066065	         -1	          0	    8600	    15	        99	                50	                   0	
     10066165	         -1	          0	    8700	    15	        99	                50	                   0	
     10066265	         -1	          0	    8800	    15	        99	                50	                   0	
     10066365	         -1	          0	    8900	    15	        99	                50	                   0	
     10066465	         -1	          0	    9000	    15	        99	                51	                   0	
     10066565	         -1	          0	    9100	    15	        99	                51	                   0	
     10066665	         -1	          0	    9200	    15	        99	                51	                   0	
     10066765	         -1	          0	    9300	    15	        99	                51	                   0	
     10066865	         -1	          0	    9400	    16	        99	                51	                   0	
     10066965	         -1	          0	    9500	    15	        99	                51	                   0	
     10067065	         -1	          0	    9600	    15	        99	                51	                   0	
     10067165	         -1	          0	    9700	    15	        99	                51	                   0	
     10067265	         -1	          0	    9800	    16	        99	                51	                   0	
     10067365	         -1	          0	    9900	    16	        99	                51	                   0	
     10067465	         -1	          0	   10000	    16	        99	                51	                   0	
     10067565	         -1	          0	   10100	    16	        99	                51	                   0	
     10067665	         -1	          0	   10200	    16	        99	                51	                   0	
     10067765	         -1	          0	   10300	    16	        99	                51	                   0	
     10067864	         -1	          0	   10400	    16	        99	                51	                   0	
     10067964	         -1	          0	   10500	    16	        99	                51	                   0	
     10068064	         -1	          0	   10600	    16	        99	                51	                   0	
     10068164	         -1	          0	   10700	    16	        99	                51	                   0	
