           TimeStamp             Session           ChannelID            Polarity           Impedance               Power   DistalTemperature ProximalTemperature                   
             4198178               34398                   0                 UNI             114.750               8.875              33.625               0.000                   
             4198278               34398                   0                 UNI             114.000              10.000              34.125               0.000                   
             4198378               34398                   0                 UNI             114.000              10.250              34.500               0.000                   
             4198478               34398                   0                 UNI             113.750              10.500              35.000               0.000                   
             4198578               34398                   0                 UNI             114.250              10.625              35.500               0.000                   
             4198678               34398                   0                 UNI             113.750              10.500              36.000               0.000                   
             4198778               34398                   0                 UNI             114.000              11.250              36.375               0.000                   
             4198878               34398                   0                 UNI             113.750              12.125              37.000               0.000                   
             4198978               34398                   0                 UNI             113.000              12.125              37.375               0.000                   
             4199078               34398                   0                 UNI             113.250              11.875              38.000               0.000                   
             4199177               34398                   0                 UNI             113.250              12.000              38.500               0.000                   
             4199277               34398                   0                 UNI             113.000              12.250              39.000               0.000                   
             4199377               34398                   0                 UNI             113.250              12.625              39.250               0.000                   
             4199477               34398                   0                 UNI             113.000              12.750              39.750               0.000                   
             4199577               34398                   0                 UNI             113.250              13.125              40.125               0.000                   
             4199677               34398                   0                 UNI             113.000              13.000              40.500               0.000                   
             4199777               34398                   0                 UNI             113.000              13.000              40.875               0.000                   
             4199877               34398                   0                 UNI             112.750              13.000              41.125               0.000                   
             4199977               34398                   0                 UNI             113.000              13.375              41.500               0.000                   
             4200077               34398                   0                 UNI             112.750              13.750              41.750               0.000                   
             4200177               34398                   0                 UNI             112.750              14.125              42.125               0.000                   
             4200277               34398                   0                 UNI             112.500              13.875              42.500               0.000                   
             4200377               34398                   0                 UNI             112.750              13.625              42.750               0.000                   
             4200477               34398                   0                 UNI             112.750              14.500              43.000               0.000                   
             4200577               34398                   0                 UNI             112.750              15.000              43.250               0.000                   
             4200677               34398                   0                 UNI             112.750              14.875              43.500               0.000                   
             4200777               34398                   0                 UNI             112.500              14.875              43.625               0.000                   
             4200877               34398                   0                 UNI             112.750              14.750              44.000               0.000                   
