                       Session                     ChannelID                     SiteIndex             FirstPosTimeStamp FirstPosPassedFilterTimeStamp              LastPosTimeStamp                             
                         34398                             0                             1                       4198078                       4201078                       4208495                             
                         34399                             0                             2                       4304528                       4307528                       4313645                             
                         34400                             0                             3                       4386178                       4389178                       4399445                             
                         34401                             0                             4                       4412628                       4415628                       4427095                             
                         34402                             0                             5                       4435928                       4438928                       4464195                             
                         34403                             0                             6                       4475778                       4478778                       4504495                             
                         34404                             0                             7                       4511578                       4514578                       4539495                             
                         34405                             0                             8                       4557328                       4560328                       4585845                             
                         34406                             0                             9                       4595028                       4598028                       4622145                             
                         34407                             0                            10                       4629928                       4632928                       4657845                             
                         34408                             0                            11                       4667528                       4670528                       4694095                             
                         34409                             0                            12                       4703978                       4706978                       4729545                             
                         34410                             0                            13                       9631428                       9634428                       9677745                             
                         34411                             0                            14                       9684845                       9687845                       9730995                             
                         34412                             0                            15                       9740978                       9743978                       9787395                             
                         34413                             0                            16                       9795978                       9798978                       9840945                             
                         34414                             0                            17                       9847628                       9850628                       9892845                             
                         34415                             0                            18                       9901328                       9904328                       9947445                             
                         34416                             0                            19                       9957628                       9960628                      10002045                             
                         34417                             0                            20                      10010878                      10013878                      10053395                             
                         34418                             0                            21                      10060928                      10063928                      10104195                             
                         34419                             0                            22                      10115478                      10118478                      10160395                             
