                Time             Session           ChannelID               Force          AxialAngle        LateralAngle  InAccurateSeverity       MetalSeverity         NeedZeroing                   
             4198092               34398                   0               3.962              -3.336               0.857                   0                   0                   0                   
             4198142               34398                   0               3.553              -3.479               0.740                   0                   0                   0                   
             4198192               34398                   0               3.259              -3.122               1.125                   0                   0                   0                   
             4198242               34398                   0               4.068              -3.145               0.878                   0                   0                   0                   
             4198292               34398                   0               3.943              -3.538               0.912                   0                   0                   0                   
             4198342               34398                   0               3.636              -3.267               0.941                   0                   0                   0                   
             4198392               34398                   0               4.627              -3.319               0.850                   0                   0                   0                   
             4198442               34398                   0               3.847              -3.415               0.850                   0                   0                   0                   
             4198492               34398                   0               4.531              -3.439               0.784                   0                   0                   0                   
             4198542               34398                   0               3.477              -3.306               0.901                   0                   0                   0                   
             4198592               34398                   0               3.795              -3.232               1.053                   0                   0                   0                   
             4198642               34398                   0               3.256              -3.281               1.025                   0                   0                   0                   
             4198692               34398                   0               3.751              -3.283               1.119                   0                   0                   0                   
             4198742               34398                   0               3.552              -3.364               0.938                   0                   0                   0                   
             4198792               34398                   0               4.449              -3.357               0.570                   0                   0                   0                   
             4198842               34398                   0               3.670              -3.310               0.914                   0                   0                   0                   
             4198892               34398                   0               3.320              -3.273               1.195                   0                   0                   0                   
             4198942               34398                   0               3.709              -3.412               1.058                   0                   0                   0                   
             4198992               34398                   0               3.724              -3.228               0.912                   0                   0                   0                   
             4199042               34398                   0               3.662              -3.351               0.972                   0                   0                   0                   
             4199092               34398                   0               2.901              -3.226               1.266                   0                   0                   0                   
             4199142               34398                   0               2.997              -3.398               1.183                   0                   0                   0                   
             4199192               34398                   0               3.571              -3.431               1.100                   0                   0                   0                   
             4199242               34398                   0               4.005              -3.193               0.775                   0                   0                   0                   
             4199292               34398                   0               3.625              -3.361               1.432                   0                   0                   0                   
             4199342               34398                   0               3.122              -3.367               1.546                   0                   0                   0                   
             4199392               34398                   0               3.675              -3.175               0.777                   0                   0                   0                   
             4199442               34398                   0               3.285              -3.356               1.203                   0                   0                   0                   
             4199492               34398                   0               3.287              -3.257               1.094                   0                   0                   0                   
             4199542               34398                   0               3.379              -3.358               1.186                   0                   0                   0                   
             4199592               34398                   0               2.551              -3.358               1.379                   0                   0                   0                   
             4199642               34398                   0               2.970              -3.217               1.344                   0                   0                   0                   
             4199692               34398                   0               3.052              -3.438               1.132                   0                   0                   0                   
             4199742               34398                   0               3.214              -3.389               1.537                   0                   0                   0                   
             4199792               34398                   0               2.618              -3.377               1.453                   0                   0                   0                   
             4199842               34398                   0              -2.848              -3.209               1.695                   0                   0                   0                   
             4199892               34398                   0               3.107              -3.095               1.285                   0                   0                   0                   
             4199942               34398                   0               3.355              -3.188               1.079                   0                   0                   0                   
             4199992               34398                   0               3.228              -3.306               0.886                   0                   0                   0                   
             4200042               34398                   0               3.169              -3.230               1.148                   0                   0                   0                   
             4200092               34398                   0               2.899              -3.436               1.301                   0                   0                   0                   
             4200142               34398                   0              -3.206              -3.341               1.620                   0                   0                   0                   
             4200192               34398                   0               2.967              -3.457               1.325                   0                   0                   0                   
             4200242               34398                   0               2.475              -3.416               1.262                   0                   0                   0                   
