              UniqID                   X                   Y                   Z             MaxTime           TotalTime        MaxImpedance      MaxTemperature            MaxPower     MaxAverageForce                   
           510582522              22.500              82.500              10.500              10.450              10.450             111.547              52.375              24.750               3.349                   
           511584522              22.500              84.500              11.500               9.750               9.750             111.547              52.375              24.750               3.349                   
           510582521              21.500              82.500              10.500               9.750               9.750             111.547              52.375              24.750               3.349                   
           510579522              22.500              79.500              10.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           510583521              21.500              83.500              10.500               9.750               9.750             111.547              52.375              24.750               3.349                   
           508572521              21.500              72.500               8.500               6.383               6.383             101.393              48.750              23.250               1.308                   
           504543512              12.500              43.500               4.500              28.550              28.550             101.442              55.250              14.250               7.253                   
           509584522              22.500              84.500               9.500               9.750               9.750             111.547              52.375              24.750               3.349                   
           503528506               6.500              28.500               3.500              17.300              17.300              99.212              55.125              12.875               8.126                   
           503539527              27.500              39.500               3.500              38.317              38.316             101.704              55.250              23.000              14.896                   
           509583521              21.500              83.500               9.500               9.750               9.750             111.547              52.375              24.750               3.349                   
           511583521              21.500              83.500              11.500               9.750               9.750             111.547              52.375              24.750               3.349                   
           509573521              21.500              73.500               9.500              13.300              13.300             101.393              52.000              30.375               1.523                   
           511582522              22.500              82.500              11.500               9.750               9.750             111.547              52.375              24.750               3.349                   
           510568542              42.500              68.500              10.500              46.450              46.449             141.262              55.250              16.000              20.554                   
           511583524              24.500              83.500              11.500               0.700               0.700             110.275              52.375              24.750               3.325                   
           510584521              21.500              84.500              10.500               9.750               9.750             111.547              52.375              24.750               3.349                   
           504528506               6.500              28.500               4.500              16.900              16.900              99.212              55.125              12.875               8.126                   
           508579522              22.500              79.500               8.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           503545528              28.500              45.500               3.500              46.150              46.149             105.464              55.250              30.625              11.833                   
           509582522              22.500              82.500               9.500               9.750               9.750             111.547              52.375              24.750               3.349                   
           511584523              23.500              84.500              11.500               0.700               0.700             110.275              52.375              24.750               3.325                   
           505522525              25.500              22.500               5.500              44.950              44.949              99.777              55.000              20.500              22.656                   
           503527507               7.500              27.500               3.500              17.550              17.550              99.212              55.125              12.875               8.126                   
           509583522              22.500              83.500               9.500              10.450              10.450             111.547              52.375              24.750               3.349                   
           509580521              21.500              80.500               9.500               9.150               9.150             109.540              52.000              21.625               2.137                   
           509573523              23.500              73.500               9.500               6.917               6.917             100.987              52.000              30.375               1.523                   
