             Session           ChannelID           SiteIndex                   X                   Y                   Z        DurationTime        AverageForce      MaxTemperature            MaxPower       BaseImpedance       ImpedanceDrop                 FTI             RFIndex      TagIndexStatus                   
               34398                   0                   1              22.961              83.476              10.550              10.433               3.068              52.375              24.750             114.009               3.747              32.000             196.974                   1                   
               34399                   0                   2              22.494              79.650               9.252               9.133               2.136              52.000              21.625             111.865               3.342              20.000             176.391                   1                   
               34400                   0                   3              22.020              73.456               9.481              13.283               1.522              52.000              30.375             104.157               4.806              20.000             240.028                   1                   
               34401                   0                   4              21.021              68.837               8.698              14.483               1.317              52.625              30.500             101.274               3.650              19.000             247.779                   1                   
               34402                   0                   5              18.655              64.548               6.406              28.283               1.447              54.875              21.125             106.046               3.326              41.000             275.435                   1                   
               34403                   0                   6              17.729              60.444               6.141              28.733               1.649              54.875              22.750             104.375               5.306              47.000             278.660                   1                   
               34404                   0                   7              16.459              56.015               5.422              27.933               1.912              55.125              17.750             103.653               3.328              53.000             249.762                   1                   
               34405                   0                   8              12.177              44.358               3.899              28.533               7.030              55.250              14.250             102.990               2.259             201.000             248.171                   1                   
               34406                   0                   9               9.566              40.567               4.322              27.133               7.591              55.125              16.125             100.834               1.957             206.000             266.058                   1                   
               34407                   0                  10               8.517              35.913               3.765              27.933               7.506              55.250              14.500             100.582               1.421             210.000             254.479                   1                   
               34408                   0                  11               7.563              31.792               3.505              26.583               7.369              55.250              13.750              99.944               1.091             196.000             241.696                   1                   
               34409                   0                  12               7.666              27.636               3.351              25.583               7.121              55.500              14.625              99.847               1.274             182.000             232.210                   1                   
               34410                   0                  13              44.733              78.532               9.292              46.333              23.352              55.750              20.000             169.713              19.000            1082.000             439.231                   1                   
               34411                   0                  14              43.309              73.996               9.611              46.167              21.704              55.375              15.875             152.910               7.629            1002.000             395.434                   1                   
               34412                   0                  15              42.226              68.573               9.601              46.433              20.059              55.250              16.000             145.987               6.762             931.000             396.575                   1                   
               34413                   0                  16              40.292              62.650               8.549              44.983              16.878              55.250              22.000             132.971               6.943             759.000             450.873                   1                   
               34414                   0                  17              37.726              57.146               6.795              45.233              12.929              55.250              23.000             123.742               5.014             585.000             434.280                   1                   
               34415                   0                  18              29.706              44.524               3.447              46.133              11.136              55.250              30.625             107.542               6.401             514.000             493.747                   1                   
               34416                   0                  19              27.103              38.568               2.064              44.433              14.469              55.250              23.000             102.579               2.680             643.000             440.592                   1                   
               34417                   0                  20              26.069              32.836               2.714              42.533              18.236              55.125              20.000             100.276               1.625             776.000             427.898                   1                   
               34418                   0                  21              25.516              27.887               4.168              43.283              20.574              55.125              20.750             100.052               1.496             891.000             454.257                   1                   
               34419                   0                  22              24.645              23.236               5.851              44.933              21.799              55.000              20.500             100.514               1.884             980.000             464.869                   1                   
