           SessionId             StartTs               EndTs          PresetName            PresetId             Comment                   
               34398             4198072             4209022                 ANT                   1                  NA                   
               34399             4304522             4314172                 ANT                   1                  NA                   
               34400             4386172             4399972                 ANT                   1                  NA                   
               34401             4412622             4427622                 ANT                   1                  NA                   
               34402             4435922             4464722                 ANT                   1                  NA                   
               34403             4475772             4505022                 ANT                   1                  NA                   
               34404             4511572             4540022                 ANT                   1                  NA                   
               34405             4557322             4586372                 ANT                   1                  NA                   
               34406             4595022             4622672                 ANT                   1                  NA                   
               34407             4629922             4658372                 ANT                   1                  NA                   
               34408             4667522             4694622                 ANT                   1                  NA                   
               34409             4703972             4730072                 ANT                   1                  NA                   
               34410             9631422             9678272                 ANT                   1                  NA                   
               34411             9684834             9731522                 ANT                   1                  NA                   
               34412             9740972             9787922                 ANT                   1                  NA                   
               34413             9795972             9841472                 ANT                   1                  NA                   
               34414             9847622             9893372                 ANT                   1                  NA                   
               34415             9901322             9947972                 ANT                   1                  NA                   
               34416             9957622            10002572                 ANT                   1                  NA                   
               34417            10010872            10053922                 ANT                   1                  NA                   
               34418            10060922            10104722                 ANT                   1                  NA                   
               34419            10115472            10160922                 ANT                   1                  NA                   
